Time,Power (W),Current (mA),Voltage (V),Energy (kWh),Cost (BDT),Duration (min)
2025-08-01 13:38:11.640653,75.4,,,,,
2025-08-01 13:38:16.094183,75.4,,,,,
2025-08-01 13:38:52.128215,110.7,,,,,
2025-08-01 13:38:58.083050,0.0,,,,,
2025-08-01 13:39:12.830093,0.0,,,,,
2025-08-01 13:40:12.997416,0.0,,,,,
2025-08-01 13:42:37.726936,0.0,,,,,
2025-08-01 13:43:37.872415,0.0,,,,,
2025-08-01 13:45:03.960349,0.0,,,,,
2025-08-01 13:45:27.807584,0.0,,,,,
2025-08-01 14:03:29.770500,0.0,0.0,231.6,0.0,0.0,
2025-08-01 14:03:34.505554,0.0,0.0,231.6,0.0,0.0,
2025-08-01 14:03:48.092503,0.0,0.0,231.6,0.0,0.0,
2025-08-01 14:03:51.257771,0.0,0.0,231.6,0.0,0.0,
2025-08-01 14:04:15.291928,0.0,0.0,231.6,0.0,0.0,
2025-08-01 14:04:30.596840,0.0,0.0,231.6,0.0,0.0,
2025-08-01 14:05:30.639204,0.0,0.0,231.6,0.0,0.0,
2025-08-01 14:06:30.644467,0.0,0.0,231.6,0.0,0.0,
2025-08-01 14:07:30.027852,0.0,0.0,231.6,0.0,0.0,
2025-08-01 14:07:50.094875,0.0,0.0,231.6,0.0,0.0,
2025-08-01 14:08:00.140601,0.0,0.0,231.6,0.0,0.0,
2025-08-01 14:08:30.042865,0.0,0.0,231.6,0.0,0.0,
2025-08-01 14:09:30.616260,0.0,0.0,231.2,0.0,0.0,
2025-08-01 14:10:09.856835,0.0,0.0,231.2,0.0,0.0,
2025-08-01 14:10:11.947582,0.0,0.0,231.2,0.0,0.0,
2025-08-01 14:11:10.148229,88.5,683.0,230.8,0.001475,0.0177,
2025-08-01 14:12:10.139670,82.7,642.0,230.8,0.0013783333333333,0.01654,
2025-08-01 14:13:10.139960,105.5,785.0,230.8,0.0017583333333333,0.0211,
2025-08-01 14:14:10.146613,105.9,794.0,230.8,0.001765,0.02118,
2025-08-01 14:15:10.144163,114.9,852.0,229.9,0.001915,0.02298,
2025-08-01 14:16:10.142253,113.2,840.0,230.3,0.0018866666666666,0.02264,
2025-08-01 14:17:10.154161,114.1,846.0,230.3,0.0019016666666666,0.02282,
2025-08-01 14:18:10.142133,115.7,855.0,230.3,0.0019283333333333,0.02314,
2025-08-01 14:19:10.142924,115.3,848.0,230.3,0.0019216666666666,0.0230599999999999,
2025-08-01 14:20:10.633890,113.3,825.0,229.9,0.0018883333333333,0.02266,
2025-08-01 14:21:10.645762,113.3,825.0,229.9,0.0018883333333333,0.02266,
2025-08-01 14:21:22.846006,113.3,825.0,229.9,0.0018883333333333,0.01133,
2025-08-01 14:22:23.114823,115.2,846.0,230.3,0.00192,0.01152,
2025-08-01 14:23:23.113511,114.2,845.0,229.9,0.0019033333333333,0.01142,
2025-08-01 14:24:23.111728,114.2,845.0,229.9,0.0019033333333333,0.01142,
2025-08-01 14:24:26.342629,114.2,845.0,229.9,0.0019033333333333,0.01142,
2025-08-01 14:24:30.278958,114.2,845.0,229.9,0.0019033333333333,0.01142,
2025-08-01 14:25:23.120247,114.5,841.0,230.3,0.0019083333333333,0.01145,
2025-08-01 14:26:23.117843,114.5,841.0,230.3,0.0019083333333333,0.01145,
2025-08-01 14:27:23.108197,114.5,841.0,230.3,0.0019083333333333,0.01145,
2025-08-01 14:28:23.117207,111.8,833.0,230.3,0.0018633333333333,0.01118,
2025-08-01 14:29:23.110997,111.8,833.0,230.3,0.0018633333333333,0.01118,
2025-08-01 14:30:23.111671,111.8,833.0,230.3,0.0018633333333333,0.01118,
